Month,Total Uploaded,Total Created,Total Published,Total Uploaded Duration,Total Created Duration,Total Published Duration
"Apr, 2025",533,1656,44,235708.0,352865.0,3942.0
"Aug, 2025",256,699,7,143794.0,232264.0,393.0
"Dec, 2025",194,644,7,137727.0,258110.0,878.0
"Feb, 2026",676,2756,14,582731.0,1085446.0,3372.0
"Jan, 2026",492,1492,20,439182.0,689252.0,5204.0
"Jul, 2025",284,892,0,121019.0,240611.0,0.0
"Jun, 2025",239,907,3,169845.0,302959.0,708.0
"Mar, 2025",639,2555,0,439415.0,634615.0,0.0
"May, 2025",217,642,4,169013.0,232006.0,232.0
"Nov, 2025",353,943,2,173214.0,300167.0,133.0
"Oct, 2025",343,1046,10,172284.0,339429.0,895.0
"Sep, 2025",227,684,0,123674.0,211085.0,0.0
