Channel,news bulletin,interview,debate,speech,special reports,press conference,discussion-show,podcast,sports show,drama,in-brief
A,36,36,31,34,30,25,6,6,6,2,1
B,36,36,31,35,31,25,6,6,5,2,1
C,31,31,28,31,31,25,6,6,5,2,1
D,17,17,15,16,15,15,6,2,0,0,0
E,20,20,18,19,17,16,6,5,5,1,1
H,9,9,8,9,9,8,2,3,3,2,1
G,14,14,12,14,14,13,4,4,3,1,1
F,21,20,20,21,22,17,3,6,5,2,1
I,7,7,7,7,7,7,1,4,4,2,1
J,10,10,10,10,10,8,2,4,3,2,1
K,9,9,8,9,9,8,2,3,3,2,1
L ,6,6,5,6,5,5,0,3,2,1,1
M,1,1,1,1,1,1,0,1,1,0,1
O,2,2,2,2,2,2,0,2,2,0,1
Q,1,1,1,1,1,1,0,1,1,0,1
N ,6,6,6,6,6,6,0,6,4,1,1
P,3,3,3,3,3,2,0,2,1,0,1
R,2,2,2,2,2,2,0,1,1,0,1
